Class,R_10,R_8,R_6,G_10,G_8,G_6,B_10,B_8,B_6
Cr6,127.0345219,109.3018567,87.83579959,123.7988303,121.304567,107.3843604,10.79649438,23.26165404,33.01897777
Cr6,124.3437351,110.4110955,90.34841398,127.4560495,121.9272908,116.6485682,18.28705261,21.92647323,33.71638591
Cr6,121.883137,117.5895223,87.03117663,126.2106779,120.6539461,114.2717171,16.47237664,20.89336942,34.59947642
Cr6,122.6492228,111.7679593,94.44479865,127.7291498,125.6096316,115.8404671,19.72573839,20.50426901,28.13539745
Cr6,128.1909486,110.7936313,86.22457661,126.5259995,121.9470804,111.9667393,19.17268903,15.15796353,33.40896585
Cr6,125.7354261,112.2293911,94.8016048,126.1158698,118.5443416,109.2664933,17.03176849,19.84981983,29.7744417
Cr6,121.620478,109.243593,88.18909781,127.0919232,118.3618693,112.7694994,10.68705087,17.70901558,34.45014554
Cr6,127.2657899,115.7329486,93.15332577,128.6555725,125.0938263,111.7050572,15.7426992,16.06377649,28.33532854
Cr6,122.6041869,115.5300902,89.39912342,127.1276296,117.7927368,109.7584222,13.11135968,22.26745129,28.01331346
Cr6,126.8367261,118.6261336,88.34156761,127.7888465,120.1589614,107.801114,11.22405319,18.81753398,29.76565311
Cr6,126.6147472,110.9148094,91.17453422,128.4468749,121.6134951,108.983853,10.41546852,20.14937751,33.26740399
Cr6,129.2521718,118.4141198,91.04934322,123.9586567,119.0665486,109.9052482,13.14836661,15.75038263,34.44375279
Cr6,129.7543626,111.8059886,89.96312824,126.8838961,121.2994937,116.157875,12.74956175,15.38457063,34.4373417
Cr6,122.9563857,109.6888245,87.15343379,128.6183797,120.7626354,110.8286509,14.61051153,16.02354952,26.2425116
Cr6,123.1800904,110.1170548,89.78400551,121.146029,118.1304446,113.8476564,15.86011841,14.26695479,28.90530133
Cr6,121.6177349,113.5383214,94.76565409,126.1009485,121.9077445,107.2324014,16.49519547,14.65071303,28.1570919
Cr6,124.7816459,110.2274121,88.84042971,123.4233599,118.5790507,108.039947,11.88863457,21.89313662,29.18826855
Cr6,129.6766234,113.7147705,95.35852314,123.6864037,118.0417465,111.2979542,18.5207314,22.00203162,28.27277394
Cr6,129.0773946,114.7774596,87.74128873,124.5101916,124.4749339,111.3685756,16.3220356,18.62318263,30.24642683
Cr6,128.8496893,113.2539561,95.95514394,129.2950992,120.7668112,112.5434167,14.09848387,17.63237196,25.32016706
Cr6,128.7434952,116.5248315,86.30082392,125.7510719,118.0050036,108.124093,15.34686836,18.76812119,33.3425336
Cr6,124.7402189,109.1167703,89.92154203,124.7756662,125.9126703,112.3683723,18.19444542,18.34603198,29.27562449
Cr6,128.538985,117.4706172,86.73337084,129.5513749,123.3288133,108.1336932,11.99332936,15.80181241,30.0947488
Cr6,130.8009295,117.185282,90.82139978,122.666618,123.6400776,109.3397813,10.35306377,22.33775251,30.33439176
Cr6,127.0515985,111.3039919,86.50274309,126.9054446,116.0038442,113.3241965,19.79876039,23.35492956,32.28602168
Cr6,121.4009822,111.4892522,94.20401867,125.7826371,120.6987345,112.1140798,18.40042417,14.93118209,29.80815256
Cr6,127.6413293,116.0347398,95.34157616,122.0960795,123.7210446,114.2519902,11.59789877,14.43870429,28.44949372
Cr6,125.3435013,118.8700291,90.53347462,121.5714879,117.2140163,107.1876992,12.45264141,17.35366554,30.94631295
Cr6,125.9879406,112.0023905,94.04576022,128.692461,123.2963737,107.0495503,16.77817271,17.6969381,25.38142349
Cr6,122.5017927,116.7986781,87.02330954,125.4177241,125.5589596,116.4784982,19.79969374,14.82244745,31.13582127
Cr6,124.7485666,117.7058796,92.09089184,122.7909883,125.6522809,114.2644289,14.94737461,19.30332911,29.67849831
Cr6,125.3766893,110.0169193,94.98265128,121.1220277,119.0293401,112.9655542,18.35203292,16.24573504,33.41528693
Cr6,125.6773081,114.9944088,88.53464342,127.25411,124.1838737,116.2014524,13.32466016,21.14099698,25.61617411
Cr6,125.5406793,114.2498532,92.56611194,128.3546321,120.1921731,108.9738683,13.2641483,14.81150815,28.94368546
Cr6,121.2252495,115.6923897,91.16104075,123.6799262,120.5636715,109.0514316,18.36949918,19.12829439,33.70975529
Cr6,125.0038483,118.0536721,92.6185549,123.3558441,117.5761341,115.384041,12.61919816,20.41932282,26.81496086
Cr6,121.7907023,111.0282683,95.15082647,123.7932522,123.3013211,115.6569124,12.83904937,17.93041225,29.90790061
Cr6,125.9802584,117.0651259,90.82122255,122.5244703,124.2187568,107.2065774,13.94940328,17.35543748,32.47215295
Cr6,124.8775447,110.2837271,94.95921345,125.6999969,118.4592229,109.1358866,11.4350597,16.27006172,28.6619468
Cr6,121.3269629,109.8471056,87.80658086,126.0081478,124.2903816,111.2514367,15.57250796,18.17470759,33.7229328
Cr6,121.1460951,118.042701,87.41151343,123.1376067,117.0959569,110.9010236,12.42095967,15.48723308,26.28476918
Cr6,124.2622559,114.3317752,91.58966302,129.9897857,124.4285552,110.7934707,13.19121498,14.74436076,25.75591157
Cr6,123.8970473,114.7434305,94.20749826,128.9786793,124.407329,110.5344404,16.17581807,14.64406567,31.91443481
Cr6,124.7926146,111.2615303,89.80168861,125.0465069,120.5882634,109.2085542,11.9211455,20.8846745,34.64283463
Cr6,125.4562737,113.3877661,91.76673265,126.9000399,118.0305402,111.6904893,13.2721804,18.32933796,32.75282515
Cr6,126.8571332,110.1129445,95.11187864,126.6615707,116.034467,116.1517303,17.84807889,15.72309942,32.36690582
Cr6,124.6057184,118.3684416,93.71136315,128.7581403,116.287407,110.4427141,11.61043302,18.15090789,32.83385077
Cr6,125.1472225,109.8765509,91.67116002,126.1183974,116.1092995,116.8165154,11.38299768,17.66332911,32.07806969
Cr6,129.2449128,117.7490553,88.96376577,127.6347134,116.8329722,110.5226544,14.23161606,18.21414566,30.36808287
Cr6,126.2066608,114.9389591,89.74308233,128.6741238,124.2882462,111.0949771,14.11488684,22.96448881,34.82957606
Cr6,129.7170926,114.5668709,93.20655898,123.9978542,123.1473428,109.8617536,19.98190875,23.22009732,34.0227044
Cr6,121.7027375,114.0452318,90.39481516,129.9740428,121.4041179,107.3494168,13.30987544,16.31083054,32.08747634
Cr6,123.9251013,112.1576439,88.14841949,121.9645461,122.8821328,115.0235607,14.64606839,17.03098432,29.23735448
Cr6,125.9238161,112.7963621,88.49061934,129.3188256,118.0193197,114.3029582,12.73498121,15.75553798,26.1038477
Cr6,124.0538437,118.222506,92.61536008,124.2716485,120.4961812,114.1080611,17.83463307,22.04728718,29.42609207
Cr6,128.0095726,115.0514779,86.57097705,121.2342818,117.0975106,114.0784707,12.25759469,16.66627691,28.97379681
Cr6,127.1884126,115.0098194,90.09715774,121.0921598,124.1576779,107.3973153,14.47464013,17.67773071,34.23518937
Cr6,121.8213086,116.0777456,94.7920887,123.4792595,120.0518157,114.4023287,14.92036873,18.53570405,33.2031701
Cr6,127.6741221,113.8614846,88.34841002,122.5588384,121.157212,107.9957488,17.16787631,14.16535171,34.73989565
Cr6,124.8469455,116.8830735,87.61312757,125.0635033,122.2776926,107.7798657,10.23741284,17.34218132,27.7749133
Cr6,121.7147608,112.6895962,88.42755836,121.9654404,117.3761475,114.7474512,14.40765247,16.83805954,28.35565663
Cr6,129.0667597,114.6188845,92.68835471,125.5189098,121.0486197,112.3827874,18.10605343,15.98789491,31.7781862
Cr6,123.343377,110.6866043,91.89522984,121.3545532,120.458822,108.7586289,11.36475512,21.5724722,26.36527235
Cr6,126.9169725,111.1396193,88.92200258,127.7244202,125.5796177,114.9265193,18.67095334,15.20291417,31.99617645
Cr6,124.1199096,113.1908875,88.01879403,129.9775753,120.0655399,114.208463,18.2718775,16.29019088,33.53135511
Cr6,130.5777332,117.66443,89.66914823,129.1711579,118.5193878,114.7161953,17.47104984,21.04619474,33.15253396
Cr6,121.0820859,113.6944334,93.06041763,129.0158169,118.9348092,111.2052569,10.40176607,16.16730061,25.37297422
Cr6,126.40258,112.3267005,93.23784388,120.3120272,120.0557951,111.0159927,16.81307833,18.18806595,32.74309593
Cr6,121.7501708,109.328528,91.4352237,120.9254168,116.5910604,107.1010326,13.59526822,14.08018004,33.46495464
Cr6,129.3828494,112.1711565,88.50604028,121.9618583,122.7056379,114.3278957,19.9561146,22.41138045,34.99161612
Cr6,125.9307608,112.8710162,90.32237596,126.7575247,123.0917704,107.1715393,11.01211172,23.1915361,33.8760395
Cr6,129.9270191,110.8195741,87.83589518,120.2771156,125.7703373,115.6208762,17.46392153,15.99309088,32.76530611
Cr6,121.5515466,110.4381581,94.20768459,121.3505301,121.8619217,113.9872699,12.74992082,19.40389177,25.19216265
Cr6,127.1910474,117.1329256,87.97233062,129.2695293,124.3407891,112.0912314,12.62633854,14.82338171,26.75327225
Cr6,130.2303063,111.5973086,92.96607067,124.0829741,123.9684417,113.4417408,18.86090189,18.43049212,34.26600824
Cr6,129.7105786,118.6440113,91.30600388,125.3784996,120.3652337,110.2951349,17.66122846,23.32708689,26.97222557
Cr6,122.5227135,111.2707432,88.81191778,121.0473503,118.8163467,110.4463248,14.55341057,20.37499762,33.41189752
Cr6,124.226677,114.9043335,87.14360508,123.3088919,117.0368132,115.9832601,18.68801184,23.17873331,31.58830441
Cr6,124.21175,113.4684555,89.25692262,129.9052479,118.551073,112.4720037,19.1330172,20.17688764,28.07989893
Cr6,130.221191,113.2594946,94.29669423,124.9462032,120.4389486,115.2020556,16.34131846,19.45248938,28.37711423
Cr6,123.8337295,114.7479052,86.60317576,125.3875559,117.8387951,113.5682926,16.66236571,17.98115831,25.39984659
Cr6,129.7921361,114.9336625,86.94606642,122.8599011,119.3930232,114.9007358,19.03450673,16.53444022,32.61624591
Cr6,129.9595829,117.8459164,88.82382903,129.3654328,125.6615298,116.6074855,11.98334439,16.48131197,27.08973101
Cr6,124.8270415,110.0711061,91.76792094,124.843896,121.3029765,108.8376735,19.38019072,16.49612889,28.69632001
Cr6,122.7667839,118.9940426,94.54758638,124.3992749,119.9994175,108.4587079,15.76757237,22.8157574,29.46204157
Cr6,129.4222887,114.5632291,89.70228019,122.4419026,119.7418577,111.1754642,14.23231658,21.3076846,26.60936528
Cr6,127.5528293,112.8701601,92.78366984,124.2544735,124.9108767,112.4268532,16.13862995,19.22101853,25.90865461
Cr6,126.9814381,109.9203344,86.68075821,127.1085694,116.1280067,107.7169314,10.6927086,22.1708627,30.26081029
Cr6,126.0028091,112.5434822,93.13410711,125.8950866,120.8091919,114.4549787,13.40269887,17.89760822,33.29550108
Cr6,128.9953209,112.6144077,88.64360148,122.8082149,116.0649456,108.2141263,19.5308247,18.29155239,29.07738323
Cr6,125.2924058,117.4236245,86.96015074,126.5333988,117.4687157,109.8803613,10.21726278,14.55914841,30.25430678
Cr6,121.6845307,110.6694755,87.83613695,127.3797681,116.9185321,113.8259598,16.81205218,14.25682908,32.87669468
Cr6,123.795755,115.4621692,89.15750381,120.0137469,124.6302011,113.0483932,14.37717751,21.38452088,31.13205006
Cr6,122.589371,110.2208518,87.39490208,124.5151189,124.2132884,113.1217018,15.83877252,21.76066175,29.34366125
Cr6,129.4859336,118.9588177,88.4479322,122.4397887,125.1619616,108.7610219,15.11120407,23.89524153,26.44147498
Cr6,127.584054,113.9411747,86.14632199,121.2810255,119.7128189,109.5865575,16.94551632,15.76077802,29.88852568
Cr6,128.5194539,118.3220958,86.60699676,124.6023513,121.0980182,108.4034473,12.77397907,19.13887381,25.94372811
Cr6,124.3426317,117.4342437,86.62907495,126.3012598,125.0429233,110.0665689,18.43008837,16.75139968,26.99668599
Cr6,122.0167674,112.0955345,92.41834651,129.7686751,119.1584003,111.7978576,16.99906649,21.76930737,33.64407343
Cr6,130.237462,116.2226931,94.13958304,129.3614925,121.9032402,108.3844573,13.13078453,19.86645722,30.52512964
Cr6,124.1588711,112.2738472,87.67339091,124.8907585,117.0339449,111.870612,13.54236884,21.15260174,26.97449665
Cr6,122.9947097,113.3221809,88.97496625,127.6229943,119.3118244,111.2939513,18.8932348,16.61028865,29.85589606
Cr6,128.7109401,111.9370192,88.3169254,129.9182102,124.4102643,112.7398529,15.22747769,18.91717641,33.23867645
Cr6,122.4511068,111.2102978,92.12779137,125.8854299,123.4402129,113.3950323,18.15271527,22.70023289,26.61926417
Cr6,125.6966362,111.3929883,92.29610973,121.4114901,123.2774418,107.7720753,17.47285259,14.97964426,32.73185229
Cr6,124.9722946,109.4077049,94.85146262,121.1420401,122.0658214,113.1787436,16.18499227,23.35874908,31.56411289
Cr6,123.5341668,116.1500264,95.01388444,128.6807644,116.797235,112.6919177,19.92573862,18.57280132,33.66888686
Cr6,122.4420029,115.3752784,93.92458886,121.7464289,124.1889558,107.3195101,12.51216746,20.20745324,34.37444615
Cr6,124.9685333,113.1577226,93.75520801,127.6158406,121.2206303,114.8155248,18.85381594,19.72488452,27.55035025
Cr6,127.4918648,115.1616395,87.97632246,122.5444205,120.7374582,107.0007517,14.43453078,16.52666396,26.51558754
Cr6,124.7759471,113.3844203,94.99993988,125.8357891,117.4528818,112.0245012,16.98647364,20.48371478,33.92872066
Cr6,121.25702,111.7435046,86.53313819,127.4332765,116.8281173,109.9559678,18.4255694,16.46465758,25.4534804
Cr6,122.197069,113.0400836,87.83011792,123.6216152,116.4141162,108.7277799,18.56306141,21.2791634,33.59888555
Cr6,130.133349,109.1830447,86.95931802,125.6480082,118.8976499,110.5209774,19.38296008,21.54309242,31.49981052
Cr6,127.7009698,114.8744593,87.6674677,129.8795487,123.8370933,114.011488,15.59826475,19.1161375,30.27431819
Cr6,121.1840416,110.4478512,89.57694443,122.5067376,125.4762528,107.4666064,19.28646738,17.62086029,32.22346512
Cr6,126.7106516,118.4071238,93.79698871,122.6992104,121.835097,111.5002735,18.98168421,21.56678548,28.92696672
Cr6,128.0061122,118.0599143,93.89962634,121.636836,123.4294443,107.1563491,18.62012617,14.52452669,29.89995356
Cr6,130.8053557,117.0296292,91.01444292,121.7098406,120.3422307,108.475466,16.95853492,15.26583596,30.52051326
Cr6,129.5507341,111.8380196,92.82068304,121.7280998,118.1805731,108.0846973,16.64385167,22.28258225,25.04481439
Cr6,129.2345984,115.5455209,92.35339687,126.5304826,120.9808847,116.0421561,13.41741514,18.29675043,25.6606707
Cr6,121.7536578,109.7622587,88.09491638,124.411669,121.975204,113.0840543,16.04255268,16.25589213,33.57231148
Cr6,127.164262,111.5054005,91.11866239,123.9612959,121.5794368,115.5490151,13.7590413,23.28495974,33.37141043
Cr6,121.0892161,110.6243532,86.0685687,126.6489289,120.5307036,108.6845686,12.12165465,20.89995713,32.78600378
Cr6,121.4936269,110.8291862,88.53640253,128.6680014,124.3271942,113.6997597,16.85152208,23.42121821,28.16794919
Cr6,127.9523905,110.9991744,91.27198664,121.7799358,120.5896443,116.0801435,10.60927252,17.01296626,28.88562361
Cr6,121.6872495,113.4173904,86.69239836,127.1479251,120.3905101,114.056693,17.25773516,17.37770226,31.17834644
Cr6,127.5259106,109.9809005,92.85841182,129.2495553,120.6925741,111.4068748,14.95458821,22.19253134,31.21085119
Cr6,124.8479133,113.933452,90.1498154,122.0578086,118.9986596,115.2926767,18.60220728,23.85108895,34.4014013
Cr6,124.674991,118.1494177,91.5200447,121.8719027,120.8383866,116.073635,13.84837682,22.41373184,33.82880744
Cr6,125.8120582,115.206236,95.96688657,125.9187395,117.7013365,109.2605677,16.57323568,20.90228796,33.77564087
Cr6,127.9169501,118.3404678,87.63882723,126.5131716,116.6272192,113.2056849,16.2593434,23.02993502,32.55585689
Cr6,130.2584136,113.4445982,87.42134074,120.9064234,123.0154385,107.7035587,12.5899089,20.40311719,25.80201674
Cr6,122.8919213,115.218229,86.69843856,129.9884293,120.2866195,108.3435441,15.76267235,14.78177263,33.5844062
Cr6,127.7317087,114.4295112,86.31827329,128.7581151,120.0622828,108.8605941,14.04862797,16.04708851,28.12593346
Cr6,121.8940038,116.3495782,86.20732519,123.1811899,122.0319715,110.9132544,12.77620382,18.16902851,27.89422853
Cr6,129.8380827,118.0333934,93.60189506,129.8203086,116.5345277,111.4377396,16.5671421,16.87099314,27.3354831
Cr6,122.6793035,118.9198472,86.94946797,125.152825,124.9189622,110.5344585,18.98172574,19.58863649,29.61067542
Cr6,122.540783,112.9823347,90.02687964,120.3916166,118.3360235,116.8810158,17.52673152,15.62868958,30.21662919
Cr6,122.5520968,110.9315872,88.00394738,123.1546712,123.6168503,113.4949412,12.66920982,18.11916625,26.77675522
Cr6,130.2369864,115.9117015,95.06232064,126.6763055,116.26098,109.9645572,11.80065774,14.37050424,30.82419691
Cr6,127.3108304,111.6681458,87.95821966,122.8773603,117.1978364,107.5030163,17.84287986,22.22934577,30.49934941
Cr6,123.3669418,110.2632651,90.30947002,126.4597912,123.6313783,111.9985749,17.76189091,23.66295878,26.78225464
Cr6,121.5888217,113.350588,89.1803711,127.4590727,116.7065872,110.1945311,16.89952312,20.86766474,28.03063121
Cr6,123.6122474,118.1564583,93.65636769,124.7788143,120.2222301,107.5150081,11.03751018,15.48859175,26.24270421
Cr6,128.6247559,117.3981897,90.02197189,124.7750277,123.2283354,110.2451291,10.26715514,18.04952505,25.93361383
Cr6,122.0587625,116.9158101,89.82877023,120.9255701,124.9295063,111.913283,11.43448077,20.26445416,27.57656178
Cr6,129.2499474,113.7755593,91.26916608,127.0910284,122.4417265,107.942696,10.14833071,17.70207295,26.74029503
Cr6,121.2442551,116.9883997,91.28116901,124.0184168,116.3491436,111.240084,10.05154085,20.25286314,25.28794004
Cr6,121.4206681,113.4898987,90.39924114,123.7311391,125.6291987,111.7914194,10.60784175,20.67098607,33.78150617
Cr6,122.9377206,116.5074247,94.83748332,126.7074921,123.7786939,114.2003611,16.29984794,23.35483545,30.76294475
Cr6,127.5526722,114.759706,95.86285068,123.775416,122.3206211,111.6309565,13.3697099,22.49966219,27.94011752
Cr6,121.8676719,117.9361199,91.64215938,129.6262448,122.4934632,108.6512742,14.84785947,21.52964383,26.74310354
Cr6,127.0480018,112.0958223,91.92775611,120.9360231,122.7775163,115.3607011,11.28159292,14.96280423,29.56454748
Cr6,126.7220648,118.536886,94.78512389,128.9831969,117.918531,115.7727888,19.53327602,14.52992055,34.7481445
Cr6,126.3064877,114.6370393,93.85175163,124.0920403,118.5786625,109.9704247,12.8289861,17.1391284,28.70025636
Cr6,129.1814249,113.3386924,95.3715761,129.0629196,121.1047081,113.2735383,16.0380127,17.24605921,26.54471058
Cr6,122.5371851,113.8214899,93.29669334,127.7848476,116.1973615,110.5002711,16.93770485,21.95895482,34.06265892
Cr6,126.0162692,117.9031223,86.0786528,125.7928916,125.8712944,110.4499499,19.45902151,22.56437417,34.49369516
Cr6,122.0752886,116.0379319,93.80350756,126.3731319,125.7122243,116.7993192,15.2120235,19.07868696,26.153447
Cr6,121.0949847,118.4470912,94.40873962,122.1564037,123.8163737,111.7958839,13.66656242,15.37485183,34.94515609
Cr6,123.32275,118.5623128,88.6269791,126.4864887,116.7907416,111.5097215,19.44202023,14.0586159,26.26326166
Cr6,121.7082459,114.2622571,93.14862349,128.2331548,122.1100138,113.8740869,16.80309285,21.55793977,33.20245937
Cr6,128.2027316,116.4788639,95.72301117,128.230716,118.1372701,115.9714507,13.12492046,16.98838701,33.97208432
Cr6,128.68282,114.5771895,86.02514404,128.7296313,119.401408,107.5188862,11.9333168,17.92767439,28.1113725
Cr6,130.4424188,111.5089291,88.20797296,129.418259,123.2177217,114.3221225,18.82607031,23.56642668,33.22271676
Cr6,127.31515,113.9823118,87.0328112,121.9156417,116.3137296,116.6690335,17.96422384,14.80188194,25.04098995
Cr6,130.1175444,116.2195629,86.75222722,127.8416112,122.8771999,116.0786424,18.62731629,16.96117438,30.37211676
Cr6,121.2141038,115.7623085,88.51585195,122.6262914,119.7471157,110.9142894,18.78087903,21.94537056,28.86567176
Cr6,121.1722499,118.6563038,86.02142159,129.3109494,122.8999172,108.2235213,15.96235841,23.85544259,25.20146777
Cr6,125.6199515,111.6000253,94.17722218,121.5805387,116.9629643,113.9870198,19.30119364,22.55709983,26.11661969
Cr6,124.8783252,117.9598631,93.2008157,123.3597084,117.0572201,112.3190875,10.51730195,18.42290649,30.43870525
Cr6,125.7998499,113.064871,91.7882368,126.9358613,124.649249,111.0663722,16.77065698,19.29192529,26.30315903
Cr6,129.5496278,113.6654049,94.37959375,124.4810044,118.1763571,111.8685014,14.69972035,21.80105958,31.45013326
Cr6,122.0348319,113.2509548,89.97881478,128.5627624,120.4902446,115.9964492,17.44028376,16.15615398,31.85206387
Cr6,130.0344471,112.4761878,89.33916856,125.9690759,122.0108626,115.7672022,11.04664092,17.09880984,31.27664285
Cr6,126.4500104,114.3393409,87.78137128,129.6294478,125.947523,107.7358231,15.17721049,17.36281165,34.08733848
Cr6,122.8742501,109.8970457,89.69883919,125.8750399,116.4057196,107.46399,16.54991427,20.4722487,26.09734879
Cr6,121.5891233,114.8461347,89.81632145,129.1225446,122.1176277,112.255534,16.7599783,23.82834705,26.99428502
Cr6,129.0859509,113.9167825,92.63533087,120.7736204,118.0635107,108.1434571,14.17302769,17.16889458,25.12465771
Cr6,127.7402138,113.6136702,90.89743713,127.1050474,125.1665827,111.0716594,13.06588183,18.88205243,27.0805253
Cr6,130.9426821,117.08421,89.44983543,124.5570658,125.9107953,109.1852858,12.74497857,17.1827093,33.57494176
Cr6,126.3585227,109.4185057,93.04181302,120.1013153,119.9212124,116.6412643,18.89401236,18.35718488,31.03729281
Cr6,127.5949706,115.3765112,93.22785898,125.2991201,118.2298629,113.5397867,13.84010348,20.45385701,26.46625404
Cr6,123.4018052,115.644159,90.19597572,129.9217639,119.2933901,110.0444651,18.96697031,18.0287379,31.62001131
Cr6,127.9234194,117.9473903,89.9241776,129.5665245,125.9254116,107.2295881,17.63620772,19.61081268,31.61943807
