cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify,BoilingPoint
1-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon,420.05
1-(2-Butoxyethoxy)-2-propanol,176.25,38.7,12,3,9,0,3,1,0,0,Alcohol,507.15
Neopentyl glycol,104.15,40.5,7,2,5,0,2,2,0,0,Alcohol,480.15
Dipentaerythritol,254.28,131,17,7,10,0,7,5,0,0,Alcohol,997.44
"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",226.35,40.5,16,2,14,0,2,6,0,1,Alcohol,528.15
"2,2,5,5-Tetramethylhex-3-ene",140.27,0,10,0,10,0,0,4,1,0,Hydrocarbon,424.15
"5,5-Dimethyl-3-heptyne",124.22,0,9,0,9,0,0,2,0,1,Hydrocarbon,411.29
6-Undecanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol,501.15
Tripropylene glycol,192.25,58.9,13,4,9,0,4,3,0,0,Alcohol,535.15
5-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,565.24
"4-Methylhepta-1,6-dien-4-ol",126.2,20.2,9,1,8,0,1,2,2,0,Alcohol,431.55
2-(2-Hydroxypropoxy)propan-1-ol,134.17,49.7,9,3,6,0,3,2,0,0,Alcohol,542.78
Isodecanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol,520.14
trans-2-Decene,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon,446.55
2-Tridecene,182.35,0,13,0,13,0,0,0,1,0,Hydrocarbon,501.2
Oct-3-ene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon,396.15
"2,5-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon,384.75
7-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon,519.48
2-Hexyne,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon,357.45
2-Tetradecene,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon,513.15
4-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol,611.66
2-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon,420.15
Isotridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol,588.78
"2,6-Nonadien-1-ol",140.22,20.2,10,1,9,0,1,0,2,0,Alcohol,369.65
3-Heptanamine,115.22,26,8,1,7,1,0,1,0,0,Amine,414.15
"2,6,11-Trimethyldodecane",212.41,0,15,0,15,0,0,3,0,0,Hydrocarbon,541.48
3-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,439.15
Hept-2-en-1-ol,114.19,20.2,8,1,7,0,1,0,1,0,Alcohol,456.1
N-Methylhexylamine,115.22,12,8,1,7,1,0,0,0,0,Amine,400.15
"1,10-Decanediol",174.28,40.5,12,2,10,0,2,1,0,0,Alcohol,574
2-(Tridecyloxy)ethanol,244.41,29.5,17,2,15,0,2,0,0,0,Alcohol,657.4
"1,3-Hexadiene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon,337.72
Tridecylamine,199.38,26,14,1,13,1,0,0,0,0,Amine,546.15
1-Methoxy-2-butanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol,407.15
7-Octen-4-OL,128.21,20.2,9,1,8,0,1,1,1,0,Alcohol,471.06
5-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,445.15
5-Hexen-2-OL,100.16,20.2,7,1,6,0,1,1,1,0,Alcohol,412.15
10-Methylicosane,296.6,0,21,0,21,0,0,1,0,0,Hydrocarbon,679.64
"2,6,10,15-Tetramethylheptadecane",296.6,0,21,0,21,0,0,4,0,0,Hydrocarbon,678.32
"2,6,10-Trimethylhexadecane",268.5,0,19,0,19,0,0,3,0,0,Hydrocarbon,633
"4,8-Dimethyltridecane",212.41,0,15,0,15,0,0,2,0,0,Hydrocarbon,541.92
5-Propyltridecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,565.24
4-Ethyltetradecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,565.24
"2,6,10,14-Tetramethylnonadecane",324.6,0,23,0,23,0,0,4,0,0,Hydrocarbon,724.08
"2,2,3-Trimethylnonane",170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon,473.15
"3,6-Nonadien-1-ol",140.22,20.2,10,1,9,0,1,0,2,0,Alcohol,506.02
2-Heptadecanol,256.5,20.2,18,1,17,0,1,1,0,0,Alcohol,601.15
Diglycerol,166.17,90.2,11,5,6,0,5,3,0,0,Alcohol,727.14
2-Methylhexan-1-ol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol,441.65
"2,3,7-Trimethyloctane",156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon,452.15
"2-Ethyl-1,3-butanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol,520.36
3-Ethylheptane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon,416.25
"N,N-Diethylethylenediamine",116.2,29.3,8,2,6,2,0,1,0,0,Amine,417.15
3-(Diethylamino)propylamine,130.229,29.3,9,2,7,2,0,1,0,0,Amine,438.15
tert-Octylamine,129.24,26,9,1,8,1,0,4,0,0,Amine,413.19803
"3,5-Dimethyl-1-hexyn-3-ol",126.2,20.2,9,1,8,0,1,3,0,1,Alcohol,421.15
"2-Butyl-2-ethyl-1,3-propanediol",160.25,40.5,11,2,9,0,2,2,0,0,Alcohol,542.15
"2,6,8-Trimethyl-4-nonanol",186.33,20.2,13,1,12,0,1,4,0,0,Alcohol,498.55
"2-Methyl-1,3-pentanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol,487.65
"2,3,4-Trimethylpent-1-ene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon,380.65
"1,3-Butanediamine",88.15,52,6,2,4,2,0,1,0,0,Amine,413.15
"N,N-Dimethylpropylamine",87.16,3.2,6,1,5,1,0,1,0,0,Amine,338.15
3-Methoxy-3-methylbutan-1-ol,118.17,29.5,8,2,6,0,2,2,0,0,Alcohol,448.15
"1,3-Pentadiene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon,315
Cetostearyl alcohol,512.9,40.5,36,2,34,0,2,0,0,0,Alcohol,598.15
Pentaethylene glycol,238.28,77.4,16,6,10,0,6,1,0,0,Alcohol,702.44
2-Butene,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon,274.03
"1,3-Butadiene, 2-methyl-, polymer with 2-methyl-1-propene",124.22,0,9,0,9,0,0,2,3,0,Hydrocarbon,396.72
2-(Decyloxy)ethanol,202.33,29.5,14,2,12,0,2,0,0,0,Alcohol,588.76
16-Methylheptadecan-1-ol,270.5,20.2,19,1,18,0,1,1,0,0,Alcohol,703.18
"3,7-Dimethyloct-6-en-1-yn-3-ol",152.23,20.2,11,1,10,0,1,3,1,1,Alcohol,511.51
Trihexylamine,269.5,3.2,19,1,18,1,0,1,0,0,Amine,534.85
"N,N,N'-Triethylethylenediamine",144.26,15.3,10,2,8,2,0,1,0,0,Amine,327.65
"N,N-Dimethylethylenediamine",88.15,29.3,6,2,4,2,0,1,0,0,Amine,377.15
"N,N,N',N'-Tetramethyl-1,4-butanediamine",144.26,6.5,10,2,8,2,0,2,0,0,Amine,441.15
"2,4-Dimethyl-1,3-pentadiene",96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon,367.15
Tetramethylallene,96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon,356.15
3-Hexyn-1-ol,98.14,20.2,7,1,6,0,1,0,0,1,Alcohol,435.15
"2,2,7,7-Tetramethyloctane",170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon,459.00627
"2-Ethyl-2-methyl-1,3-propanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol,498.95
"3-Methyl-1,4-pentadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon,325.15
Tripentaerythritol,372.41,180,25,10,15,0,10,7,0,0,Alcohol,1315.39
"2-Methyl-2-propylpropane-1,3-diol",132.2,40.5,9,2,7,0,2,2,0,0,Alcohol,507.15
4-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol,565.9
3-Pentyn-1-ol,84.12,20.2,6,1,5,0,1,0,0,1,Alcohol,427.15
3-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol,588.78
3-Methyl-3-buten-2-ol,86.13,20.2,6,1,5,0,1,2,1,0,Alcohol,387.15
2-Methyl-1-undecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol,565.9
"1,4,7-Trimethyldiethylenetriamine",145.25,27.3,10,3,7,3,0,1,0,0,Amine,472.54
"(S)-3,7-Dimethyl-1,6-octadien-3-ol",154.25,20.2,11,1,10,0,1,3,2,0,Alcohol,360.65
"N,N,N',N'-Tetraethylethylenediamine",172.31,6.5,12,2,10,2,0,2,0,0,Amine,465.15
1-Hexacosanol,382.7,20.2,27,1,26,0,1,0,0,0,Alcohol,886.66
1-Octacosanol,410.8,20.2,29,1,28,0,1,0,0,0,Alcohol,932.42
"2-Methylpropane-1,2-diol",90.12,40.5,6,2,4,0,2,2,0,0,Alcohol,450.15
1-Triacontanol,438.8,20.2,31,1,30,0,1,0,0,0,Alcohol,978.18
Trimethylborane,55.92,0,4,0,3,0,0,2,0,0,Hydrocarbon,252.95
2-Methylbutan-2-amine,87.16,26,6,1,5,1,0,2,0,0,Amine,350.15
3-Ethyl-3-hexanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,433.15
4-Ethyl-4-heptanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol,452.15
"3,7-Dimethyl-1,7-octadien-3-ol",154.25,20.2,11,1,10,0,1,3,2,0,Alcohol,510.59
3-Methyl-1-butyne,68.12,0,5,0,5,0,0,1,0,1,Hydrocarbon,301.15
3-Buten-1-ol,72.11,20.2,5,1,4,0,1,0,1,0,Alcohol,385.15
N-Allylmethylamine,71.12,12,5,1,4,1,0,0,1,0,Amine,337.15
"1,5-Hexadiyne",78.11,0,6,0,6,0,0,0,0,2,Hydrocarbon,361.15
"1,8-Octanediol",146.23,40.5,10,2,8,0,2,1,0,0,Alcohol,418.15
1-Octadecyne,250.5,0,18,0,18,0,0,0,0,1,Hydrocarbon,586.15
Triisopentylamine,227.43,3.2,16,1,15,1,0,4,0,0,Amine,508.15
"2,2-Dimethylhex-3-ene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon,374.05
2-Methylhept-3-ene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon,387.13
"5-Methyl-1,4-hexadiene",96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon,364.98821
Cis-3-Penten-1-ol,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol,413.65
Hex-2-yn-1-ol,98.14,20.2,7,1,6,0,1,0,0,1,Alcohol,438.06
1-Dodecyne,166.3,0,12,0,12,0,0,0,0,1,Hydrocarbon,488.15
1-Tetradecyne,194.36,0,14,0,14,0,0,0,0,1,Hydrocarbon,525.15
1-Pentadecyne,208.38,0,15,0,15,0,0,0,0,1,Hydrocarbon,553.15
5-Hexen-1-ol,100.16,20.2,7,1,6,0,1,0,1,0,Alcohol,428.9
"1,7-Octadiyne",106.16,0,8,0,8,0,0,0,0,2,Hydrocarbon,408.65
"N,N-Dimethyl-2-butanamine",101.19,3.2,7,1,6,1,0,2,0,0,Amine,366.4
"1,4-Pentadien-3-ol",84.12,20.2,6,1,5,0,1,1,2,0,Alcohol,388.65
5-Hexyn-1-ol,98.14,20.2,7,1,6,0,1,0,0,1,Alcohol,419.18
"N,N-Dimethylisopropylamine",87.16,3.2,6,1,5,1,0,2,0,0,Amine,339.15
"N,N-Dimethyldecylamine",185.35,3.2,13,1,12,1,0,1,0,0,Amine,507.15
Chimyl alcohol,316.5,49.7,22,3,19,0,3,1,0,0,Alcohol,840.66
"3,6,9,12-Tetraoxahexadecan-1-OL",250.33,57.2,17,5,12,0,5,0,0,0,Alcohol,656.02
3-Methoxy-1-propanol,90.12,29.5,6,2,4,0,2,0,0,0,Alcohol,339.15
1-Docosene,308.6,0,22,0,22,0,0,0,1,0,Hydrocarbon,640.15
2-Methyldotriacontane,464.9,0,33,0,33,0,0,1,0,0,Hydrocarbon,954.2
"3,6,9,12,15-Pentaoxanonadecan-1-ol",294.38,66.4,20,6,14,0,6,0,0,0,Alcohol,724.2
3-Ethyloctan-3-ol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol,472.15
2-(Octadecyloxy)ethanol,314.5,29.5,22,2,20,0,2,0,0,0,Alcohol,771.8
"N,N-Dimethylallylamine",85.15,3.2,6,1,5,1,0,1,1,0,Amine,335.15
"2-Methyl-1,3-propanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol,494.15
1-Undecyne,152.28,0,11,0,11,0,0,0,0,1,Hydrocarbon,469.15
2-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon,457.75
3-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon,320.33719
Butylallene,96.17,0,7,0,7,0,0,0,2,0,Hydrocarbon,378.65
Triheptylamine,311.6,3.2,22,1,21,1,0,1,0,0,Amine,603.15
n-Methyloctan-1-amine,143.27,12,10,1,9,1,0,0,0,0,Amine,351.65
N-Methyloctadecylamine,283.5,12,20,1,19,1,0,0,0,0,Amine,620.15
Diheptylamine,213.4,12,15,1,14,1,0,0,0,0,Amine,539.15
3-Heptyne,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon,382.35
Triisooctylamine,353.7,3.2,25,1,24,1,0,4,0,0,Amine,759.84
2-Butylhexanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol,491.65
10-Undecyn-1-ol,168.28,20.2,12,1,11,0,1,0,0,1,Alcohol,533.58
"2,6-Dimethyl-1-heptene",126.24,0,9,0,9,0,0,2,1,0,Hydrocarbon,415
10-Nonadecanamine,283.5,26,20,1,19,1,0,1,0,0,Amine,706.41
5-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,358.15
"1,2-Heptanediol",132.2,40.5,9,2,7,0,2,1,0,0,Alcohol,363.15
"2,4,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,422.7
"2,4-Dimethylpentan-3-amine",115.22,26,8,1,7,1,0,3,0,0,Amine,399.15
N-Methyldioctadecylamine,536,3.2,38,1,37,1,0,1,0,0,Amine,1058.6
Tris(2-aminoethyl)amine,146.23,81.3,10,4,6,4,0,2,0,0,Amine,370.65
"1,10-Undecadiyne",148.24,0,11,0,11,0,0,0,0,2,Hydrocarbon,431.52
Diethyl(1-propynyl)amine,111.18,3.2,8,1,7,1,0,1,0,1,Amine,381.2
"3,6,9,12,15-Pentaoxaheptadecan-1-ol",266.33,66.4,18,6,12,0,6,0,0,0,Alcohol,678.44
N-Methyldioctylamine,255.5,3.2,18,1,17,1,0,1,0,0,Amine,410.15
Diethyl(propyl)amine,115.22,3.2,8,1,7,1,0,1,0,0,Amine,385.2
di-n-Butylethylamine,157.3,3.2,11,1,10,1,0,1,0,0,Amine,445.65
2-Methyl-1-octene,126.24,0,9,0,9,0,0,1,1,0,Hydrocarbon,417.15
"N,N'-Bis(2-aminoethyl)-1,3-propanediamine",160.26,76.1,11,4,7,4,0,1,0,0,Amine,605.16
N-Methylisopropylamine,73.14,12,5,1,4,1,0,1,0,0,Amine,326.45
"1,8-Nonadiene",124.22,0,9,0,9,0,0,0,2,0,Hydrocarbon,414.15
"3,3,4,4-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon,443.15
Methanediol,48.041,40.5,3,2,1,0,2,1,0,0,Alcohol,406.84
"1,2-Decanediol",174.28,40.5,12,2,10,0,2,1,0,0,Alcohol,528.2
4-Pentyn-1-ol,84.12,20.2,6,1,5,0,1,0,0,1,Alcohol,423.15
"3,6,9,12,15,18-Hexaoxaicosane-1,20-diol",326.38,95.8,22,8,14,0,8,1,0,0,Alcohol,515.65
"3,6,9,12-Tetraoxatetradecan-1-ol",222.28,57.2,15,5,10,0,5,0,0,0,Alcohol,610.26
"N,N-Diethylallylamine",113.2,3.2,8,1,7,1,0,1,1,0,Amine,383.15
"1,12-Dodecanediol",202.33,40.5,14,2,12,0,2,1,0,0,Alcohol,658.52
Neopentylamine,87.16,26,6,1,5,1,0,2,0,0,Amine,355.15
3-Ethyloctane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon,438.15
1-Nonadecanol,284.5,20.2,20,1,19,0,1,0,0,0,Alcohol,618.15
2-Pentyn-1-ol,84.12,20.2,6,1,5,0,1,0,0,1,Alcohol,423.15
Tris(2-methylallyl)amine,179.3,3.2,13,1,12,1,0,4,3,0,Amine,357.15
Bis-(dimethylaminopropyl)amine,187.33,18.5,13,3,10,3,0,2,0,0,Amine,503.45
Rhodinol,156.26,20.2,11,1,10,0,1,2,1,0,Alcohol,516.7
2-(2-Propoxyethoxy)ethanol,148.2,38.7,10,3,7,0,3,0,0,0,Alcohol,487.95
Diisopropylethylamine,129.24,3.2,9,1,8,1,0,3,0,0,Amine,387.15
"N,N-Dimethylisobutylamine",101.19,3.2,7,1,6,1,0,2,0,0,Amine,353.15
Undecylamine,171.32,26,12,1,11,1,0,0,0,0,Amine,502.15
N-Methyldodecylamine,199.38,12,14,1,13,1,0,0,0,0,Amine,382.15
2-Ethyl-3-methylbut-1-ene,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,359.45
"3-Methylpenta-1,2-diene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon,343.15
N-tert-Butylisopropylamine,115.22,12,8,1,7,1,0,3,0,0,Amine,371.15
"1,16-Hexadecanediol",258.44,40.5,18,2,16,0,2,1,0,0,Alcohol,750.04
2-(Octyloxy)ethanol,174.28,29.5,12,2,10,0,2,0,0,0,Alcohol,543
1-Tetracosene,336.6,0,24,0,24,0,0,0,1,0,Hydrocarbon,663.15
"2,6-Dimethyl-2-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol,443.15
N-Methylhexadecylamine,255.5,12,18,1,17,1,0,0,0,0,Amine,594.15
(R)-(-)-2-Butanol,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol,372.4
3-Octyn-1-ol,126.2,20.2,9,1,8,0,1,0,0,1,Alcohol,370.15
3-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon,408.75
1-Heneicosanol,312.6,20.2,22,1,21,0,1,0,0,0,Alcohol,772.26
"2,2-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,427.15
"4,4-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,430.42617
3-Methylnonacosane,422.8,0,30,0,30,0,0,1,0,0,Hydrocarbon,885.56
2-Methyl-6-methyleneoct-7-en-4-ol,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol,512.94
"2-Methyl-6-methyleneocta-2,7-dien-4-ol",152.23,20.2,11,1,10,0,1,3,3,0,Alcohol,517.42
2-Hexadecanol,242.44,20.2,17,1,16,0,1,1,0,0,Alcohol,587.15
"2,6,10-Trimethyltetradecane",240.5,0,17,0,17,0,0,3,0,0,Hydrocarbon,587.24
"3,7-Dimethyloctan-2-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol,519.26
4-Ethyloctane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon,436.15
"3,4-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,435.15
"3,6-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,433.95
"2,3-Dimethylhex-1-ene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon,384.15
3-Ethyl-2-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,411.15
"3,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,496.16
"3,8-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,496.16
"4,5-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon,455.15
"2,3-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon,479.15
9-Methylnonadecane,282.5,0,20,0,20,0,0,1,0,0,Hydrocarbon,656.76
3-Methyltetradecane,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon,539.45
"3,7-Dimethyl-1-octen-3-ol",156.26,20.2,11,1,10,0,1,3,1,0,Alcohol,513.59
"3,7-Dimethyloct-6-en-3-ol",156.26,20.2,11,1,10,0,1,3,1,0,Alcohol,521.39
"2,6-Dimethyloctan-2-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol,516.91
2-Methyl-1-decanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol,543.02
2-Methylheptan-3-ol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,426.65
5-Methyl-3-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,427.15
6-Methylheptan-3-ol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,438.65
2-Ethyl-2-methylbutan-1-ol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,429.23605
1-Triacontene,420.8,0,30,0,30,0,0,0,1,0,Hydrocarbon,721.15
1-Dotriacontene,448.8,0,32,0,32,0,0,0,1,0,Hydrocarbon,738.15
2-Methyl-1-undecene,168.32,0,12,0,12,0,0,1,1,0,Hydrocarbon,484.75
1-Octacosene,392.7,0,28,0,28,0,0,0,1,0,Hydrocarbon,703.15
"3,4-Diethylhexane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,433.15
3-Ethyl-3-heptanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol,455.35
"1,14-Tetradecanediol",230.39,40.5,16,2,14,0,2,1,0,0,Alcohol,704.28
N-Ethylisopropylamine,87.16,12,6,1,5,1,0,1,0,0,Amine,341.15
3-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon,420.65
N-Ethylpropylamine,87.16,12,6,1,5,1,0,0,0,0,Amine,358.15
N-Isopropylpropylamine,101.19,12,7,1,6,1,0,1,0,0,Amine,369.35
"4,7-Dimethyloctan-4-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol,465.15
4-Heptyn-2-ol,112.17,20.2,8,1,7,0,1,1,0,1,Alcohol,460.5
"2,4,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,429.66
"3,4,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,435.65
3-Methylnonan-3-ol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol,517.35
5-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol,611.66
"1,2-Tetradecanediol",230.39,40.5,16,2,14,0,2,1,0,0,Alcohol,703.84
1-Nonen-3-ol,142.24,20.2,10,1,9,0,1,1,1,0,Alcohol,466.65
2-(2-{2-[2-(2-Methoxy-ethoxy)-ethoxy]-ethoxy}-ethoxy)-ethanol,252.3,66.4,17,6,11,0,6,0,0,0,Alcohol,655.56
"2,5,8,11-Tetraoxatridecan-13-ol",208.25,57.2,14,5,9,0,5,0,0,0,Alcohol,557
4-Methyl-4-nonanol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol,517.35
"1,3-Octanediol",146.23,40.5,10,2,8,0,2,1,0,0,Alcohol,566.56
(Allyloxy)propanediol,132.16,49.7,9,3,6,0,3,1,1,0,Alcohol,539.9
3-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon,465.15
1-Tert-butoxy-2-propanol,132.2,29.5,9,2,7,0,2,3,0,0,Alcohol,417.15
"2,2,3,3-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon,413.35
"3-Methoxy-1,2-propanediol",106.12,49.7,7,3,4,0,3,1,0,0,Alcohol,493.15
"1,2-Dodecanediol",202.33,40.5,14,2,12,0,2,1,0,0,Alcohol,658.08
"2,4-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,427.15
"3,5,5-Trimethyl-1-hexene",126.24,0,9,0,9,0,0,3,1,0,Hydrocarbon,392.6
"1,2-Pentanediol",104.15,40.5,7,2,5,0,2,1,0,0,Alcohol,483.65
4-Ethyl-1-octyn-3-ol,154.25,20.2,11,1,10,0,1,2,0,1,Alcohol,509.82
3-Methylhexadecane,240.5,0,17,0,17,0,0,1,0,0,Hydrocarbon,571.15
6-Methyloctadecane,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon,633.88
5-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon,459.15
N-Heptylmethylamine,129.24,12,9,1,8,1,0,0,0,0,Amine,441.15
Ethoxypropanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol,428.16
"2,3,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,429
D-Arabinitol,152.15,101,10,5,5,0,5,4,0,0,Alcohol,773.58
5-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon,479.15
4-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon,418.15
2-Methyl-3-buten-1-ol,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol,393.65
3-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon,586.15
3-Methylnonadecane,282.5,0,20,0,20,0,0,1,0,0,Hydrocarbon,613.15
"1,2-Hexanediol",118.17,40.5,8,2,6,0,2,1,0,0,Alcohol,507.15
"2,4,4-Trimethyl-2-pentanol",130.229,20.2,9,1,8,0,1,4,0,0,Alcohol,419.15
"2,4-Hexadiyne-1,6-diol",110.11,40.5,8,2,6,0,2,1,0,2,Alcohol,539.24
N-Propyldibutylamine,171.32,3.2,12,1,11,1,0,1,0,0,Amine,463.72
"2,2,3-Trimethylhexan-3-ol",144.25,20.2,10,1,9,0,1,4,0,0,Alcohol,443.15
2-Hexyl-1-decanol,242.44,20.2,17,1,16,0,1,1,0,0,Alcohol,657.42
"2-Methylbutane-2,3-diol",104.15,40.5,7,2,5,0,2,3,0,0,Alcohol,448.15
"3,4-Dimethyl-1-pentyn-3-ol",112.17,20.2,8,1,7,0,1,3,0,1,Alcohol,406.15
N-Methylpropargylamine,69.11,12,5,1,4,1,0,0,0,1,Amine,356.15
Tetrahydrolavandulol,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol,484.15
"3-Methylpentane-2,4-diol",118.17,40.5,8,2,6,0,2,3,0,0,Alcohol,484.65
6-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,446.15
2-Pentadecanol,228.41,20.2,16,1,15,0,1,1,0,0,Alcohol,572.15
"3-Dodecyloxypropane-1,2-diol",260.41,49.7,18,3,15,0,3,1,0,0,Alcohol,749.14
7-Ethyl-2-methyl-4-undecanol,214.39,20.2,15,1,14,0,1,3,0,0,Alcohol,534.65
"1,2-Hexadecanediol",258.44,40.5,18,2,16,0,2,1,0,0,Alcohol,749.6
"2,4-Dimethyl-3-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol,433.76714
"2,2-Dimethyl-3-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol,429.15
"3,5-Dimethyl-3-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol,424.15
4-Methyl-1-hexanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol,444.28091
3-Methyleicosane,296.6,0,21,0,21,0,0,1,0,0,Hydrocarbon,679.64
2-Methyl-3-octanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol,454.65
